id,symbol
1,BINANCE:BTCUSDT
2,BINANCE:ETHUSDT
3,BINANCE:BNBUSDT
4,BINANCE:1INCHUSDT
5,BINANCE:AAVEUSDT
6,BINANCE:ADAUSDT
7,BINANCE:ALGOUSDT
8,BINANCE:ANKRUSDT
9,BINANCE:ATOMUSDT
10,BINANCE:AUDIOUSDT
11,BINANCE:AVAXUSDT
12,BINANCE:AXSUSDT
13,BINANCE:BALUSDT
14,BINANCE:BATUSDT
15,BINANCE:BCHUSDT
16,BINANCE:CAKEUSDT
17,BINANCE:CELOUSDT
18,BINANCE:CHZUSDT
19,BINANCE:COMPUSDT
20,BINANCE:CRVUSDT
21,BINANCE:DASHUSDT
22,BINANCE:DGBUSDT
23,BINANCE:DOGEUSDT
24,BINANCE:DOTUSDT
25,BINANCE:EGLDUSDT
26,BINANCE:ENSUSDT
27,BINANCE:EOSUSDT
28,BINANCE:ETCUSDT
29,BINANCE:FILUSDT
30,BINANCE:FTMUSDT
31,BINANCE:FTTUSDT
32,BINANCE:GRTUSDT
33,BINANCE:HBARUSDT
34,BINANCE:HNTUSDT
35,BINANCE:IOTXUSDT
36,BINANCE:JSTUSDT
37,BINANCE:KAVAUSDT
38,BINANCE:KNCUSDT
39,BINANCE:KSMUSDT
40,BINANCE:LINKUSDT
41,BINANCE:LPTUSDT
42,BINANCE:LRCUSDT
43,BINANCE:LTCUSDT
44,BINANCE:MANAUSDT
45,BINANCE:MATICUSDT
46,BINANCE:MKRUSDT
47,BINANCE:NEARUSDT
48,BINANCE:NEOUSDT
49,BINANCE:ONEUSDT
50,BINANCE:QNTUSDT
51,BINANCE:ROSEUSDT
52,BINANCE:RUNEUSDT
53,BINANCE:SANDUSDT
54,BINANCE:SHIBUSDT
55,BINANCE:SKLUSDT
56,BINANCE:SNXUSDT
57,BINANCE:SOLUSDT
58,BINANCE:SRMUSDT
59,BINANCE:STXUSDT
60,BINANCE:SXPUSDT
